ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
223257_at	6.16e-01	5.43e-01	-0.612865	-7.195948	-0.1449303	G2E3	G2/M-phase specific E3 ubiquitin protein ligase
217109_at	6.16e-01	5.43e-01	0.612739	-7.196027	0.2792291	MUC4	mucin 4, cell surface associated
203835_at	6.16e-01	5.43e-01	-0.612549	-7.196144	-0.2221098	LRRC32	leucine rich repeat containing 32
208986_at	6.16e-01	5.44e-01	-0.612321	-7.196285	-0.0948149	TCF12	transcription factor 12
208835_s_at	6.16e-01	5.44e-01	0.612238	-7.196337	0.1710444	LUC7L3	LUC7 like 3 pre-mRNA splicing factor
225096_at	6.17e-01	5.44e-01	-0.611987	-7.196492	-0.2620899	COPRS	coordinator of PRMT5 and differentiation stimulator
238498_at	6.17e-01	5.44e-01	-0.611837	-7.196585	-0.1259179		
225795_at	6.17e-01	5.44e-01	0.611824	-7.196593	0.1292504	SMDT1	single-pass membrane protein with aspartate rich tail 1
209745_at	6.17e-01	5.44e-01	0.61169	-7.196676	0.0901532	COQ7	coenzyme Q7, hydroxylase
205542_at	6.17e-01	5.44e-01	-0.611457	-7.19682	-0.3375389	STEAP1	six transmembrane epithelial antigen of the prostate 1
205696_s_at	6.17e-01	5.44e-01	0.611286	-7.196926	0.1650208	GFRA1	GDNF family receptor alpha 1
213799_s_at	6.17e-01	5.44e-01	-0.61127	-7.196935	-0.089632	PTPRA	protein tyrosine phosphatase, receptor type A
212450_at	6.17e-01	5.45e-01	-0.610865	-7.197186	-0.1514138	SECISBP2L	SECIS binding protein 2 like
223184_s_at	6.17e-01	5.45e-01	0.610786	-7.197235	0.1434372	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3
214244_s_at	6.18e-01	5.45e-01	0.610232	-7.197576	0.1003337	ATP6V0E1	ATPase H+ transporting V0 subunit e1
214321_at	6.18e-01	5.45e-01	0.610157	-7.197622	0.3157956	NOV	nephroblastoma overexpressed
234159_at	6.18e-01	5.45e-01	-0.610126	-7.197642	-0.1218803		
220933_s_at	6.18e-01	5.45e-01	0.610021	-7.197707	0.0997635	ZCCHC6	zinc finger CCHC-type containing 6
207590_s_at	6.18e-01	5.45e-01	0.609994	-7.197723	0.0709304	CENPI	centromere protein I
224462_s_at	6.18e-01	5.45e-01	0.609986	-7.197728	0.1321585	CHCHD6	coiled-coil-helix-coiled-coil-helix domain containing 6
223785_at	6.18e-01	5.45e-01	0.609839	-7.197819	0.1868075	FANCI	Fanconi anemia complementation group I
1561600_at	6.18e-01	5.45e-01	0.60948	-7.19804	0.1722948		
227471_at	6.18e-01	5.46e-01	0.609363	-7.198112	0.1956267	HACE1	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1
200000_s_at	6.18e-01	5.46e-01	0.609288	-7.198158	0.1106147	PRPF8	pre-mRNA processing factor 8
239212_at	6.18e-01	5.46e-01	-0.609264	-7.198173	-0.1002093	LTV1	LTV1 ribosome biogenesis factor
238585_at	6.18e-01	5.46e-01	-0.608865	-7.198419	-0.1090079	GTDC1	glycosyltransferase like domain containing 1
227274_at	6.19e-01	5.46e-01	0.60863	-7.198563	0.1401767	SYNJ2BP-COX16///SYNJ2BP	SYNJ2BP-COX16 readthrough///synaptojanin 2 binding protein
221214_s_at	6.19e-01	5.46e-01	-0.608171	-7.198846	-0.2124543	MIR7114///NSMF	microRNA 7114///NMDA receptor synaptonuclear signaling and neuronal migration factor
204969_s_at	6.19e-01	5.46e-01	-0.608153	-7.198857	-0.1304257	RDX	radixin
1555464_at	6.19e-01	5.46e-01	-0.608043	-7.198925	-0.1871541	IFIH1	interferon induced with helicase C domain 1
211417_x_at	6.19e-01	5.46e-01	0.608012	-7.198944	0.2925297	GGT2///GGTLC1///GGTLC2///GGT1	gamma-glutamyltransferase 2///gamma-glutamyltransferase light chain 1///gamma-glutamyltransferase light chain 2///gamma-glutamyltransferase 1
243810_at	6.19e-01	5.47e-01	-0.60733	-7.199362	-0.2162889		
204197_s_at	6.19e-01	5.47e-01	0.607268	-7.199401	0.2040776	RUNX3	runt related transcription factor 3
203691_at	6.19e-01	5.47e-01	-0.607238	-7.199419	-0.4251791	PI3	peptidase inhibitor 3
215504_x_at	6.20e-01	5.47e-01	0.606855	-7.199654	0.0402599	ANKRD10-IT1	ANKRD10 intronic transcript 1
204549_at	6.20e-01	5.47e-01	-0.606807	-7.199683	-0.0837381	IKBKE	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon
204629_at	6.20e-01	5.47e-01	0.606713	-7.199741	0.1270969	PARVB	parvin beta
205223_at	6.20e-01	5.47e-01	-0.606471	-7.19989	-0.087487	DEPDC5	DEP domain containing 5
244569_at	6.20e-01	5.48e-01	-0.60616	-7.20008	-0.134856	C8orf37	chromosome 8 open reading frame 37
47560_at	6.20e-01	5.48e-01	0.606124	-7.200102	0.1412373	ADGRL1	adhesion G protein-coupled receptor L1
205766_at	6.20e-01	5.48e-01	-0.606063	-7.200139	-0.162793	TCAP	titin-cap
239302_s_at	6.20e-01	5.48e-01	-0.606049	-7.200148	-0.0767334	LOC100506922	uncharacterized LOC100506922
218502_s_at	6.20e-01	5.48e-01	-0.605994	-7.200182	-0.1993556	TRPS1	transcriptional repressor GATA binding 1
224359_s_at	6.20e-01	5.48e-01	-0.605665	-7.200384	-0.2205161	HOOK3	hook microtubule tethering protein 3
212880_at	6.20e-01	5.48e-01	0.60557	-7.200442	0.1814973	WDR7	WD repeat domain 7
235620_x_at	6.20e-01	5.48e-01	-0.605467	-7.200505	-0.0834824	ZMYM5	zinc finger MYM-type containing 5
240317_at	6.20e-01	5.48e-01	0.605459	-7.20051	0.2467589	PCDHB4	protocadherin beta 4
223419_at	6.20e-01	5.48e-01	0.605387	-7.200554	0.1304242	FBXW9	F-box and WD repeat domain containing 9
244550_at	6.20e-01	5.48e-01	0.605329	-7.200589	0.1310295		
203729_at	6.21e-01	5.49e-01	-0.604787	-7.200921	-0.2168909	EMP3	epithelial membrane protein 3
