ID	Gene.symbol	Gene.title	log2(fold change)	minus_log10(p-value)
1053_at	RFC2	replication factor C subunit 2	-2.151	17.197
117_at	HSPA6	heat shock protein family A (Hsp70) member 6	-1.544	4.568
1294_at	MIR5193///UBA7	microRNA 5193///ubiquitin like modifier activating enzyme 7	1.832	5.908
1438_at	EPHB3	EPH receptor B3	-1.364	2.273
1552256_a_at	SCARB1	scavenger receptor class B member 1	1.468	4.533
1552264_a_at	MAPK1	mitogen-activated protein kinase 1	-2.374	14.654
1552277_a_at	MSANTD3	Myb/SANT DNA binding domain containing 3	-2.567	13.578
1552316_a_at	GIMAP1	"GTPase, IMAP family member 1"	1.985	4.823
1552318_at	GIMAP1	"GTPase, IMAP family member 1"	1.458	4.423
1552330_at	CENPBD1	CENPB DNA-binding domain containing 1	-1.142	3.121
1552334_at	TRIOBP	TRIO and F-actin binding protein	-1.575	5.169
1552344_s_at	CNOT7	CCR4-NOT transcription complex subunit 7	-1.018	3.212
1552370_at	C4orf33	chromosome 4 open reading frame 33	-2.382	7.644
1552378_s_at	RDH10	retinol dehydrogenase 10 (all-trans)	-1.459	1.653
1552477_a_at	IRF6	interferon regulatory factor 6	-2.694	5.833
1552485_at	LACTB	lactamase beta	-1.981	6.677
1552486_s_at	LACTB	lactamase beta	-2.08	8.421
1552509_a_at	CD300LG	CD300 molecule like family member g	5.664	13.638
1552519_at	ACVR1C	activin A receptor type 1C	4.392	8.778
1552610_a_at	JAK1	Janus kinase 1	-4.173	13.776
1552617_a_at	RFWD2	ring finger and WD repeat domain 2	-3.286	13.502
1552618_at	STX6	syntaxin 6	-2.037	11.369
1552619_a_at	ANLN	anillin actin binding protein	-4.277	17.882
1552621_at	UPK3BL///POLR2J3///POLR2J2///POLR2J	uroplakin 3B-like///RNA polymerase II subunit J3///RNA polymerase II subunit J2///RNA polymerase II subunit J	-1.989	9.547
1552622_s_at	UPK3BL///POLR2J3///LOC441259///POLR2J2///POLR2J	"uroplakin 3B-like///RNA polymerase II subunit J3///PMS1 homolog 2, mismatch repair system component pseudogene///RNA polymerase II subunit J2///RNA polymerase II subunit J"	-2.67	11.944
1552625_a_at	TRNT1	tRNA nucleotidyl transferase 1	-2.517	14.148
1552628_a_at	HERPUD2	HERPUD family member 2	-1.002	4.57
1552639_at	KLHDC7B	kelch domain containing 7B	-1.043	1.653
1552656_s_at	UHMK1	U2AF homology motif (UHM) kinase 1	-1.072	1.936
1552658_a_at	NAV3	neuron navigator 3	1.086	4.563
1552670_a_at	PPP1R3B	protein phosphatase 1 regulatory subunit 3B	-1.136	2.612
1552685_a_at	GRHL1	grainyhead like transcription factor 1	-2.54	6.339
1552711_a_at	CYB5D1	cytochrome b5 domain containing 1	1.335	5.829
1552719_at	CASC4	cancer susceptibility candidate 4	1.613	6.977
1552733_at	KLHDC1	kelch domain containing 1	1.735	10.96
1552770_s_at	ZNF563	zinc finger protein 563	1.262	12.072
1552801_at	CAPN13	calpain 13	-1.015	1.871
1552848_a_at	PTCHD1	patched domain containing 1	1.891	2.377
1552921_a_at	FIGNL1	fidgetin like 1	-1.425	4.795
1552931_a_at	PDE8A	phosphodiesterase 8A	-1.237	3.583
1552977_a_at	CNPY3	canopy FGF signaling regulator 3	-2.541	10.572
1552978_a_at	SCAMP1	secretory carrier membrane protein 1	-2.106	6.144
1553015_a_at	RECQL4	RecQ like helicase 4	-1.177	3.042
1553043_a_at	CD300LF	CD300 molecule like family member f	-1.02	2.028
1553055_a_at	SLFN5	schlafen family member 5	-1.291	2.51
1553101_a_at	ALKBH5	"alkB homolog 5, RNA demethylase"	-1.133	5.043
1553102_a_at	CCDC69	coiled-coil domain containing 69	2.195	5.138
1553105_s_at	DSG2	desmoglein 2	-3.818	8.67
1553106_at	C5orf24	chromosome 5 open reading frame 24	-1.485	7.842
1553112_s_at	CDK8	cyclin dependent kinase 8	-2.138	7.024
1553113_s_at	CDK8	cyclin dependent kinase 8	-1.467	8.519
1553117_a_at	STK38	serine/threonine kinase 38	-3.231	14.576
1553132_a_at	TC2N	"tandem C2 domains, nuclear"	-2.318	7.152
1553145_at	TAPT1-AS1	TAPT1 antisense RNA 1 (head to head)	1.297	4.483
1553165_at	SYNRG	"synergin, gamma"	-1.193	2.497
1553185_at	RASEF	RAS and EF-hand domain containing	1.323	6.327
1553186_x_at	RASEF	RAS and EF-hand domain containing	1.354	6.193
1553227_s_at	BRWD1	bromodomain and WD repeat domain containing 1	-1.369	6.196
1553243_at	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5	3.619	13.996
1553275_s_at			-1.178	2.017
1553292_s_at	SGK494	uncharacterized serine/threonine-protein kinase SgK494	-1.919	3.901
1553434_at	CYP4Z2P	"cytochrome P450 family 4 subfamily Z member 2, pseudogene"	-4.419	5.684
1553436_at	MUC19	"mucin 19, oligomeric"	-2.696	1.738
1553510_s_at	CNOT9	CCR4-NOT transcription complex subunit 9	-1.127	3.718
1553530_a_at	ITGB1	integrin subunit beta 1	-2.843	10.044
1553535_a_at	RANGAP1	Ran GTPase activating protein 1	-3.335	18.833
1553542_at	CCDC125	coiled-coil domain containing 125	-1.092	2.41
1553551_s_at	ND2	MTND2	-1.42	7.514
1553575_at	ND6	"NADH dehydrogenase, subunit 6 (complex I)"	1.931	8.246
1553583_a_at	THRSP	thyroid hormone responsive	1.512	4.003
1553613_s_at	FOXC1	forkhead box C1	3.719	4.667
1553672_at	ENAH	enabled homolog (Drosophila)	-1.01	2.301
1553677_a_at	TIPRL	TOR signaling pathway regulator	-2.175	8.405
1553678_a_at	ITGB1	integrin subunit beta 1	-3.49	10.18
1553685_s_at	SP1	Sp1 transcription factor	-2.184	7.602
1553689_s_at	METTL6	methyltransferase like 6	-1.014	3.952
1553694_a_at	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	-3.103	7.802
1553709_a_at	PRPF38A	pre-mRNA processing factor 38A	-2.509	8.826
1553797_a_at	LINC01105	long intergenic non-protein coding RNA 1105	-1.243	1.901
1553858_at	ZBTB3	zinc finger and BTB domain containing 3	1.443	10.617
1553928_at	ELMOD2	ELMO domain containing 2	-2.667	8.255
1553954_at	ALG14	"ALG14, UDP-N-acetylglucosaminyltransferase subunit"	-1.152	3.931
1553960_at	SNX21	sorting nexin family member 21	2.42	8.688
1553961_s_at	SNX21	sorting nexin family member 21	1.792	11.439
1553962_s_at	RHOB	ras homolog family member B	-3.912	11.066
1553971_a_at	GATS	"GATS, stromal antigen 3 opposite strand"	1.041	4.537
1553976_a_at	DPCD	deleted in primary ciliary dyskinesia homolog (mouse)	-2.506	7.482
1554003_at	ARHGEF28	Rho guanine nucleotide exchange factor 28	2.569	12.932
1554006_a_at	LLGL2	"LLGL2, scribble cell polarity complex component"	-2.88	9.209
1554007_at			4.373	11.562
1554015_a_at	CHD2	chromodomain helicase DNA binding protein 2	-1.004	3.658
1554052_at	CNOT1	CCR4-NOT transcription complex subunit 1	-1.006	2.636
1554082_a_at	NOL9	nucleolar protein 9	-1.155	4.368
1554089_s_at	SBDSP1///SBDS	Shwachman-Bodian-Diamond syndrome pseudogene 1///SBDS ribosome assembly guanine nucleotide exchange factor	-1.762	4.981
1554093_a_at	SNAPC5	small nuclear RNA activating complex polypeptide 5	-1.025	4.767
1554105_at	TMEM185A	transmembrane protein 185A	-1.403	4.51
1554145_a_at	PPP1R21	protein phosphatase 1 regulatory subunit 21	-1.253	5.724
1554148_a_at	SLC33A1	solute carrier family 33 member 1	-2.754	11.064
1554152_a_at	OGDH	oxoglutarate dehydrogenase	-1.18	4.26
1554154_at	GDAP2	ganglioside induced differentiation associated protein 2	-1.72	7.669
1554159_a_at	ZMYND11	zinc finger MYND-type containing 11	-1.389	3.711
1554161_at	SLC25A27	solute carrier family 25 member 27	1.475	10.356
1554167_a_at	GOLGA7	golgin A7	-3.851	10.884
1554195_a_at	C5orf46	chromosome 5 open reading frame 46	-2.224	2.875
1554201_at	CABP4	calcium binding protein 4	1.207	11.04
1554240_a_at	ITGAL	integrin subunit alpha L	-1.3	2.496
1554241_at	COCH	cochlin	-2.267	9.53
1554249_a_at	ZNF638-IT1///ZNF638	ZNF638 intronic transcript 1///zinc finger protein 638	-1.84	10.716
1554250_s_at	STAG3L2///STAG3L3///TRIM73	stromal antigen 3-like 2 (pseudogene)///stromal antigen 3-like 3 (pseudogene)///tripartite motif containing 73	1.097	4.384
1554260_a_at	FRYL	FRY like transcription coactivator	-2.955	13.835
1554271_a_at	CENPL	centromere protein L	-2.657	11.222
1554287_at	TRIM4	tripartite motif containing 4	-1.094	4.05
1554327_a_at	CANT1	calcium activated nucleotidase 1	-1.172	2.248
1554333_at	DNAJA4	DnaJ heat shock protein family (Hsp40) member A4	-1.627	4.025
1554334_a_at	DNAJA4	DnaJ heat shock protein family (Hsp40) member A4	-2.393	8.445
1554351_a_at	TIPRL	TOR signaling pathway regulator	-2.19	13.585
1554365_a_at	PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma	-3.554	13.964
1554390_s_at	ACTR2	ARP2 actin related protein 2 homolog	-3.242	13.299
1554397_s_at	UEVLD	UEV and lactate/malate dehyrogenase domains	-3.032	7.699
1554408_a_at	TK1	thymidine kinase 1	-4.764	13.793
1554410_a_at	RCC1L	RCC1 like	-1.112	6.614
1554414_a_at	OSGIN2	oxidative stress induced growth inhibitor family member 2	-1.914	7.391
1554417_s_at	APH1A	"aph-1 homolog A, gamma-secretase subunit"	-2.487	8
1554423_a_at	FBXO7	F-box protein 7	-2.557	7.659
1554433_a_at	ZNF146	zinc finger protein 146	-4.352	14.968
1554438_at	KIAA1217	KIAA1217	-1.601	7.05
1554441_a_at	WAPL	WAPL cohesin release factor	-3.353	13.84
1554450_s_at	MIER3	MIER family member 3	-1.976	7.026
1554451_s_at	DNAJC14	DnaJ heat shock protein family (Hsp40) member C14	-1.854	7.087
1554452_a_at	HILPDA	hypoxia inducible lipid droplet associated	-2.752	7.603
1554456_a_at	LINS1	lines homolog 1	-2.311	9.446
1554462_a_at	DNAJB9	DnaJ heat shock protein family (Hsp40) member B9	-2.735	10.321
1554464_a_at	CRTAP	cartilage associated protein	-3.006	7.25
1554466_a_at	METTL26	methyltransferase like 26	-3.695	9.932
1554478_a_at	HEATR3	HEAT repeat containing 3	-1.329	5.664
1554482_a_at	SAR1B	secretion associated Ras related GTPase 1B	-3.509	16.833
1554485_s_at	TMEM37	transmembrane protein 37	1.784	3.293
1554489_a_at	CEP70	centrosomal protein 70	-2.055	6.583
1554496_at	RAD51B	RAD51 paralog B	1.258	8.487
1554510_s_at	GHITM	growth hormone inducible transmembrane protein	-2.531	10.77
1554513_s_at	CEP89	centrosomal protein 89	-1.76	8.004
1554547_at	FAM13C	family with sequence similarity 13 member C	1.83	3.723
1554553_s_at	YIF1B	"Yip1 interacting factor homolog B, membrane trafficking protein"	-3.207	15.1
1554555_a_at	SETD6	SET domain containing 6	-1.07	4.287
1554564_a_at	SPPL3	signal peptide peptidase like 3	1.359	9.128
1554565_x_at	SPPL3	signal peptide peptidase like 3	1.344	8.182
1554572_a_at	SUV39H2	suppressor of variegation 3-9 homolog 2	-3.409	14.605
1554574_a_at	CYB5R3	cytochrome b5 reductase 3	-3.822	11.117
1554575_a_at	BPNT1	"3'(2'), 5'-bisphosphate nucleotidase 1"	-2.691	15.58
1554577_a_at	PSMD10	"proteasome 26S subunit, non-ATPase 10"	-2.925	14.458
1554597_at	LIG3	DNA ligase 3	-1.327	1.64
1554599_x_at	LIG3	DNA ligase 3	-2.59	4.462
1554600_s_at	LMNA	lamin A/C	-1.26	4.302
1554602_at	RBM8A	RNA binding motif protein 8A	-1.086	4.072
1554627_a_at	ASCC1	activating signal cointegrator 1 complex subunit 1	-3.46	14.116
1554667_s_at	METTL8	methyltransferase like 8	-2.062	9.612
1554670_at	GGA1	"golgi associated, gamma adaptin ear containing, ARF binding protein 1"	-1.264	7.186
1554676_at	SRGN	serglycin	-1.08	2.328
1554678_s_at	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like	-2.498	10.354
1554679_a_at	LAPTM4B	lysosomal protein transmembrane 4 beta	-5.669	17.253
1554690_a_at	TACC1	transforming acidic coiled-coil containing protein 1	1.189	2.536
1554691_a_at	PACSIN2	protein kinase C and casein kinase substrate in neurons 2	-1.963	8.297
1554696_s_at	TYMS	thymidylate synthetase	-4.184	12.704
1554712_a_at	GLYATL2	glycine-N-acyltransferase like 2	-4.015	3.681
1554741_s_at	FGF7P3///FGF7P6///FGF7	fibroblast growth factor 7 pseudogene 3///fibroblast growth factor 7 pseudogene 6///fibroblast growth factor 7	1.697	4.731
1554747_a_at	Sep 02	septin 2	-4.529	16.517
1554767_s_at	CRYZL1	crystallin zeta like 1	-1.663	8.296
1554768_a_at	MAD2L1	MAD2 mitotic arrest deficient-like 1 (yeast)	-4.192	13.19
1554770_x_at	ZNF785	zinc finger protein 785	-1.044	4.839
1554771_at			1.696	7.614
1554795_a_at	FBLIM1	filamin binding LIM protein 1	-1.669	3.904
1554804_a_at	CLDN19	claudin 19	1.165	13.469
1554807_a_at	SPIRE1	spire type actin nucleation factor 1	-2.082	7.014
1554842_at	SLC12A1	solute carrier family 12 member 1	1.238	9.665
1554868_s_at	PCNP	PEST proteolytic signal containing nuclear protein	-1.862	10.84
1554890_a_at	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	-2.606	16.096
1554894_a_at	PCBD2	pterin-4 alpha-carbinolamine dehydratase 2	-2.15	11.346
1554899_s_at	FCER1G	Fc fragment of IgE receptor Ig	-3.205	8.149
1554915_a_at	PDE12	phosphodiesterase 12	-1.107	3.653
1554930_a_at	FUT8	fucosyltransferase 8	-1.172	2.643
1554948_at			-1.351	5.534
1554966_a_at	FILIP1L	filamin A interacting protein 1 like	-2.191	3.523
1555037_a_at	IDH1	"isocitrate dehydrogenase (NADP(+)) 1, cytosolic"	-1.73	6.827
1555041_a_at	NAGA	alpha-N-acetylgalactosaminidase	-1.755	9.923
1555058_a_at	LPGAT1	lysophosphatidylglycerol acyltransferase 1	-2.911	9.242
1555137_a_at	FGD6	"FYVE, RhoGEF and PH domain containing 6"	-1.114	2.877
1555154_a_at	QKI	"QKI, KH domain containing RNA binding"	-2.12	8.839
1555167_s_at	NAMPT	nicotinamide phosphoribosyltransferase	-3.393	8.918
1555193_a_at	ZNF277	zinc finger protein 277	-1.644	7.708
1555201_a_at	RMND1	required for meiotic nuclear division 1 homolog	-1.441	3.362
1555203_s_at	SLC44A4	solute carrier family 44 member 4	-1.876	2.512
1555216_a_at	LOC101060604///SLC7A5P2///SLC7A5P1	putative L-type amino acid transporter 1-like protein IMAA///solute carrier family 7 member 5 pseudogene 2///solute carrier family 7 member 5 pseudogene 1	1.739	8.976
1555225_at	C1orf43	chromosome 1 open reading frame 43	-1.599	5.138
1555226_s_at	C1orf43	chromosome 1 open reading frame 43	-4.559	10.626
1555229_a_at	C1S	"complement component 1, s subcomponent"	-4.379	8.856
1555274_a_at	EPT1	ethanolaminephosphotransferase 1	-3.268	11.121
1555278_a_at	CKAP5	cytoskeleton associated protein 5	-3.222	13.384
1555303_at			-2.392	10.632
1555325_s_at	ZNF26	zinc finger protein 26	-1.253	4.407
1555326_a_at	ADAM9	ADAM metallopeptidase domain 9	-2.703	5.864
1555334_s_at	SLC30A5	solute carrier family 30 member 5	-2.613	10.363
1555349_a_at	ITGB2	integrin subunit beta 2	-3.092	7.304
1555363_s_at	LINC00663	long intergenic non-protein coding RNA 663	2.181	9.852
1555372_at	BCL2L11	BCL2 like 11	-1.134	4.737
1555411_a_at	CCNL1	cyclin L1	-2.086	7.883
1555419_a_at	ASAH1	N-acylsphingosine amidohydrolase 1	-3.631	8.019
1555420_a_at	KLF7	Kruppel like factor 7	-1.424	7.521
1555427_s_at	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein	-3.177	16.897
1555460_a_at	SLC39A6	solute carrier family 39 member 6	-3.177	9.101
1555467_a_at	CELF1	"CUGBP, Elav-like family member 1"	-2.054	10.637
1555480_a_at	FBLIM1	filamin binding LIM protein 1	-1.892	4.757
1555500_s_at	SLC2A4RG	SLC2A4 regulator	-1.288	4.966
1555501_s_at	RSRC1	arginine and serine rich coiled-coil 1	-1.567	7.259
1555522_s_at	DPY30///MEMO1	"dpy-30, histone methyltransferase complex regulatory subunit///mediator of cell motility 1"	-2.708	15.927
1555526_a_at	Sep 06	septin 6	-2.538	10.269
1555543_a_at	CLCC1	chloride channel CLIC like 1	-2.718	11.043
1555564_a_at	CFI	complement factor I	-1.016	1.635
1555579_s_at	PTPRM	"protein tyrosine phosphatase, receptor type M"	1.03	1.754
1555600_s_at	APOL4	apolipoprotein L4	-1.294	1.918
1555618_s_at	SAE1	SUMO1 activating enzyme subunit 1	-4.131	18.23
1555638_a_at	SAMSN1	"SAM domain, SH3 domain and nuclear localization signals 1"	-1.088	2.645
1555705_a_at	CMTM3	CKLF like MARVEL transmembrane domain containing 3	-1.348	5.183
1555707_at	TNAP	TRAFs and NIK-associated protein	1.049	10.555
1555725_a_at	RGS5	regulator of G-protein signaling 5	-1.502	2.962
1555728_a_at	MS4A4A	membrane spanning 4-domains A4A	-1.969	3.459
1555730_a_at	CFL1	cofilin 1	-4.221	15.566
1555736_a_at	AGTRAP	angiotensin II receptor associated protein	-3.46	11.83
1555745_a_at	LYZ	lysozyme	-4.061	4.191
1555751_a_at	GEMIN7	gem nuclear organelle associated protein 7	-2.273	10.044
1555756_a_at	CLEC7A	C-type lectin domain family 7 member A	-2.862	7.795
1555758_a_at	CDKN3	cyclin dependent kinase inhibitor 3	-5.593	18.253
1555759_a_at	CCL5	C-C motif chemokine ligand 5	-1.972	2.827
1555760_a_at	RBM15	RNA binding motif protein 15	-2.627	12.771
1555778_a_at	POSTN	periostin	-4.984	15.642
1555780_a_at	RHEB	Ras homolog enriched in brain	-3.03	11.787
1555788_a_at	TRIB3	tribbles pseudokinase 3	-1.936	4.163
1555789_s_at	PHF23	PHD finger protein 23	-1.949	11.809
1555797_a_at	ARPC5	actin related protein 2/3 complex subunit 5	-3.072	15.151
1555812_a_at	ARHGDIB	Rho GDP dissociation inhibitor beta	-3.887	10.418
1555814_a_at	RHOA	ras homolog family member A	-4.582	10.136
1555815_a_at	L3MBTL2	L3MBTL2 polycomb repressive complex 1 subunit	-1.798	11.633
1555827_at	CCNL1	cyclin L1	-2.859	14.646
1555830_s_at	ESYT2	extended synaptotagmin 2	-1.863	5.379
1555831_s_at	LRRC41	leucine rich repeat containing 41	-3.205	13.443
1555847_a_at	MIR24-2///MIR23A///LOC284454	microRNA 24-2///microRNA 23a///uncharacterized LOC284454	1.348	3.966
1555858_at	THUMPD3-AS1	THUMPD3 antisense RNA 1	-3.108	10.346
1555860_x_at	THUMPD3-AS1	THUMPD3 antisense RNA 1	-2.731	10.779
1555872_a_at	LOC728903///GLIDR	uncharacterized LOC728903///glioblastoma down-regulated RNA	2.58	15.824
1555874_x_at	GLIDR	glioblastoma down-regulated RNA	1.816	12.707
1555878_at	RPS24	ribosomal protein S24	-1.945	8.238
1555892_s_at	PSMD5-AS1	PSMD5 antisense RNA 1 (head to head)	-1.499	3.841
1555896_a_at	ADAM15	ADAM metallopeptidase domain 15	-1.398	7.329
1555905_a_at	TCAIM	"T-cell activation inhibitor, mitochondrial"	-1.203	2.796
1555913_at	GON4L	gon-4 like	-1.179	4.989
1555920_at	CBX3	chromobox 3	-2.918	8.088
1555926_a_at			1.353	12.101
1555929_s_at			3.354	12.821
1555933_at	KIAA2013	KIAA2013	1.054	8.429
1555942_a_at	MIR205	microRNA 205	1.266	3.728
1555945_s_at	FAM120A	family with sequence similarity 120A	-1.664	8.261
1555948_s_at	FAM120A	family with sequence similarity 120A	-3.2	17.017
1555950_a_at	CD55	CD55 molecule (Cromer blood group)	-2.399	6.858
1555960_at	HINT1	histidine triad nucleotide binding protein 1	-1.406	7.174
1555967_at			1.581	5.677
1555971_s_at	FBXO28	F-box protein 28	-2.775	16.289
1555989_at	DAAM1	dishevelled associated activator of morphogenesis 1	-3.791	6.368
1555996_s_at	MIR1248///SNORA81///SNORA4///SNORD2///SNORA63///EIF4A2	"microRNA 1248///small nucleolar RNA, H/ACA box 81///small nucleolar RNA, H/ACA box 4///small nucleolar RNA, C/D box 2///small nucleolar RNA, H/ACA box 63///eukaryotic translation initiation factor 4A2"	-4.4	14.109
1556006_s_at	CSNK1A1	casein kinase 1 alpha 1	-3.768	14.404
1556007_s_at	CSNK1A1	casein kinase 1 alpha 1	-2.912	8.878
1556026_at	LINC00893	long intergenic non-protein coding RNA 893	2.107	14.479
1556035_s_at	ZNF207	zinc finger protein 207	-2.21	4.466
1556059_s_at	SPEN	spen family transcriptional repressor	-1.597	4.295
1556060_a_at	ZNF451	zinc finger protein 451	-2.021	9.607
1556067_a_at	KDM6B	lysine demethylase 6B	-1.059	3.2
1556116_s_at	TNPO1	transportin 1	1.479	3.679
1556121_at	NAP1L1	nucleosome assembly protein 1 like 1	1.476	7.101
1556123_a_at	RAB11B-AS1	RAB11B antisense RNA 1	2.076	14.846
1556181_at	ANKRD65	ankyrin repeat domain 65	1.609	19.582
1556182_x_at	ANKRD65	ankyrin repeat domain 65	1.182	9.866
1556185_a_at			1.795	2.901
1556190_s_at	LOC100507516	uncharacterized LOC100507516	-1.473	3.131
1556202_at	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2	-1.446	5.193
1556203_a_at	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2	-1.166	5.665
1556206_at	LINC00408	long intergenic non-protein coding RNA 408	4.07	12.772
1556277_a_at	PAPD4	"poly(A) RNA polymerase D4, non-canonical"	-1.464	6.682
1556285_s_at	PPA2	pyrophosphatase (inorganic) 2	-2.81	9.402
1556300_s_at	SIM1	single-minded family bHLH transcription factor 1	1.7	3.051
1556318_s_at	CAND1	cullin associated and neddylation dissociated 1	-1.499	5.838
1556338_at			-2.907	9.735
1556364_at	ADAMTS9-AS2	ADAMTS9 antisense RNA 2	4.069	18.569
1556416_s_at			-1.194	4.279
1556423_at	VASH1	vasohibin 1	-1.498	3.551
1556427_s_at	LRRN4CL	LRRN4 C-terminal like	4.783	18.038
1556474_a_at	LOC285097	uncharacterized FLJ38379	-2.835	3.249
1556486_at	LOC105378577	basic proline-rich protein-like	2.224	7.865
1556542_a_at			1.046	3.004
1556551_s_at	SLC39A6	solute carrier family 39 member 6	-2.387	6.611
1556579_s_at	IGSF10	immunoglobulin superfamily member 10	3.284	11.382
1556654_at	CDK12	cyclin dependent kinase 12	-2.307	2.699
1556657_at			-1.078	3.032
1556682_s_at			1.248	3.095
1556683_x_at			1.069	6.386
1556732_at	EML4	echinoderm microtubule associated protein like 4	-1.484	6.78
1556735_at			1.872	9.851
1556773_at			1.823	3.502
1556794_at			3.244	11.091
1556821_x_at	DLEU2	deleted in lymphocytic leukemia 2 (non-protein coding)	-1.39	5.465
1556935_at			1.057	2.098
1556989_at			1.822	5.559
1557049_at	BTBD19	BTB domain containing 19	-1.559	3.632
1557051_s_at	HOTAIRM1	"HOXA transcript antisense RNA, myeloid-specific 1"	1.511	4.213
1557067_s_at	LUC7L	LUC7 like	-2.317	10.029
1557078_at	SLFN5	schlafen family member 5	-1.611	3.619
1557081_at	RBM25	RNA binding motif protein 25	-1.35	3.523
1557100_s_at	HECTD1	HECT domain E3 ubiquitin protein ligase 1	-2.271	7.359
1557113_at	LOC283588	uncharacterized LOC283588	1.145	2.905
1557119_a_at	ZNF575	zinc finger protein 575	1.066	9.508
1557227_s_at	TPR	"translocated promoter region, nuclear basket protein"	-2.027	7.433
1557239_at	BBX	"BBX, HMG-box containing"	-1.397	4.617
1557263_s_at	LOC102724814	uncharacterized LOC102724814	2.163	12.384
1557285_at	AREG	amphiregulin	1.075	1.578
1557352_at	SQLE	squalene epoxidase	-1.116	2.965
1557360_at	LRPPRC	leucine rich pentatricopeptide repeat containing	-1.065	5.146
1557370_s_at	MYCBP2	"MYC binding protein 2, E3 ubiquitin protein ligase"	-2.606	6.642
1557384_at	LOC100506639///ZNF131	uncharacterized LOC100506639///zinc finger protein 131	-1.129	3.815
1557411_s_at	SLC25A43	solute carrier family 25 member 43	-2.952	10.528
1557422_at			1.366	5.353
1557455_s_at	MOSPD1	motile sperm domain containing 1	-1.009	2.871
1557458_s_at	SHB	SH2 domain containing adaptor protein B	-1.337	4.473
1557478_at			1.456	7.288
1557512_at			-1.446	6.448
1557521_a_at			1.082	2.782
1557527_at			-1.831	4.294
1557543_at			-1.244	6.401
1557551_at			-1.911	5.252
1557553_at	PPP1R12B	protein phosphatase 1 regulatory subunit 12B	1.377	4.934
1557578_at	PHLDB2	pleckstrin homology like domain family B member 2	1.554	4.318
1557580_at			-2.094	9.78
1557586_s_at	ATP6V1H	ATPase H+ transporting V1 subunit H	-1.142	2.778
1557598_at	LOC101927870	uncharacterized LOC101927870	2.569	8.494
1557689_at			-1.077	1.886
1557698_at			1.478	8.549
1557699_x_at			1.383	6.304
1557710_at			1.133	7.593
1557712_x_at			1.199	8.46
1557738_at			-1.286	5.427
1557759_at	ATP5SL	ATP5S like	1.092	9.876
1557804_at			-1.492	7.881
1557810_at			-2.46	8.842
1557813_at			1.532	4.462
1557814_a_at			1.587	10.9
1557817_a_at			1.449	11.151
1557828_a_at	TMEM267	transmembrane protein 267	-1.025	3.79
1557866_at	CFAP157	cilia and flagella associated protein 157	1.536	13.254
1557895_at	FLJ35934	FLJ35934	-1.007	4.767
1557905_s_at	CD44	CD44 molecule (Indian blood group)	-2.52	9.065
1557910_at	HSP90AB1	heat shock protein 90 alpha family class B member 1	-6.225	13.947
1557915_s_at	GSTO1	glutathione S-transferase omega 1	-1.234	5.707
1557944_s_at	TMX2-CTNND1///CTNND1	TMX2-CTNND1 readthrough (NMD candidate)///catenin delta 1	-2.184	10.815
1557950_at	NEMF	nuclear export mediator factor	-3.272	11.406
1557954_at	TXLNG	taxilin gamma	-2.015	5.461
1557961_s_at	C8orf88	chromosome 8 open reading frame 88	2.631	11.726
1557984_s_at	RPAP3	RNA polymerase II associated protein 3	-1.272	4.535
1558014_s_at	FAR1	fatty acyl-CoA reductase 1	-1.653	4.725
1558015_s_at	ACTR2	ARP2 actin related protein 2 homolog	-3.082	8.806
1558027_s_at	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2	-1.449	5.259
1558028_x_at	NORAD	non-coding RNA activated by DNA damage	-1.517	5.241
1558044_s_at	EXOSC6	exosome component 6	1.268	11.868
1558048_x_at			5.47	17.478
1558080_s_at	DNAJC3	DnaJ heat shock protein family (Hsp40) member C3	-3.909	18.306
1558093_s_at	SNHG4///MATR3	small nucleolar RNA host gene 4///matrin 3	-3.951	13.543
1558097_at	PRR14L	proline rich 14 like	-1.027	4.709
1558102_at	HDGFRP3	"hepatoma-derived growth factor, related protein 3"	1.603	4.368
1558105_a_at	SLC9A7	solute carrier family 9 member A7	-1.558	3.958
1558111_at	MBNL1	muscleblind like splicing regulator 1	-2.977	8.503
1558136_s_at	TAF11	TATA-box binding protein associated factor 11	-2.728	11.074
1558142_at	TNRC6B	trinucleotide repeat containing 6B	1.121	10.05
1558143_a_at	BCL2L11	BCL2 like 11	-2.958	12.691
1558154_at			-1.347	5.064
1558170_at			3.929	19.651
1558199_at	FN1	fibronectin 1	-3.187	8.137
1558214_s_at	CTNNA1	catenin alpha 1	-3.914	10.53
1558220_at			-1.226	4.506
1558233_s_at	ATF1	activating transcription factor 1	-1.03	7.093
1558236_at	DR1	down-regulator of transcription 1	1.274	4.573
1558237_x_at	DR1	down-regulator of transcription 1	1.125	4.083
1558249_s_at	STX16	syntaxin 16	-1.718	7.59
1558250_s_at			-1.465	4.014
