ID	Gene.symbol	Gene.title	log2(fold change)	minus_log10(p-value)
218864_at	TNS1	tensin 1	1.83	4.754
218865_at	Mar 01	mitochondrial amidoxime reducing component 1	1.512	3.251
218866_s_at	POLR3K	RNA polymerase III subunit K	-3.599	14.248
218872_at	TESC	tescalcin	3.616	13.155
218875_s_at	FBXO5	F-box protein 5	-2.906	12.486
218876_at	TPPP3	tubulin polymerization promoting protein family member 3	1.767	4.055
218877_s_at	TRMT11	tRNA methyltransferase 11 homolog	-1.558	4.523
218880_at	FOSL2	"FOS like 2, AP-1 transcription factor subunit"	-1.095	2.39
218883_s_at	CENPU	centromere protein U	-5.036	17.413
218888_s_at	NETO2	neuropilin and tolloid like 2	-1.662	3.4
218890_x_at	MRPL35	mitochondrial ribosomal protein L35	-1.958	11.777
218894_s_at	MAGOHB	"mago homolog B, exon junction complex core component"	-1.925	9.173
218900_at	CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4	-1.076	4.103
218901_at	PLSCR4	phospholipid scramblase 4	2.895	8.784
218903_s_at	NABP2	nucleic acid binding protein 2	-1.127	7.043
218905_at	INTS8	integrator complex subunit 8	-1.471	7.569
218908_at	ASPSCR1	"ASPSCR1, UBX domain containing tether for SLC2A4"	-2.069	8.82
218909_at	RPS6KC1	ribosomal protein S6 kinase C1	-2.417	9.643
218911_at	YEATS4	YEATS domain containing 4	-1.364	4.49
218924_s_at	CTBS	chitobiase	-1.243	5.808
218928_s_at	SLC37A1	solute carrier family 37 member 1	-1.887	8.833
218930_s_at	TMEM106B	transmembrane protein 106B	-2.192	17.333
218941_at	FBXW2	F-box and WD repeat domain containing 2	-1.853	9.735
218943_s_at	DDX58	DEXD/H-box helicase 58	-2.07	3.451
218944_at	PYCRL	pyrroline-5-carboxylate reductase-like	-1.282	3.66
218947_s_at	MTPAP	mitochondrial poly(A) polymerase	-2.967	12.356
218949_s_at	QRSL1	glutaminyl-tRNA synthase (glutamine-hydrolyzing)-like 1	-1.995	5.183
218950_at	ARAP3	"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3"	2.374	7.885
218952_at	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor	-1.088	2.13
218959_at	HOXC10	homeobox C10	-2.386	7.226
218960_at	TMPRSS4	"transmembrane protease, serine 4"	-1.538	1.938
218966_at	MYO5C	myosin VC	-1.272	2.491
218967_s_at	PTER	phosphotriesterase related	-3.406	7.413
218972_at	TTC17	tetratricopeptide repeat domain 17	-1.859	4.276
218974_at	SOBP	sine oculis binding protein homolog	4.15	11.317
218975_at	COL5A3	collagen type V alpha 3 chain	1.379	3.439
218979_at	RMI1	RecQ mediated genome instability 1	-3.006	14.481
218982_s_at	MRPS17	mitochondrial ribosomal protein S17	-1.759	6.352
218984_at	PUS7	pseudouridylate synthase 7 (putative)	-1.918	7.526
218986_s_at	DDX60	DEXD/H-box helicase 60	-1.448	2.559
218987_at	ATF7IP	activating transcription factor 7 interacting protein	-1.916	7.676
218989_x_at	SLC30A5	solute carrier family 30 member 5	-1.979	8.999
218999_at	TMEM140	transmembrane protein 140	1.059	2.486
219000_s_at	DSCC1	DNA replication and sister chromatid cohesion 1	-1.041	3.559
219004_s_at	MIS18A	MIS18 kinetochore protein A	-2.028	10.149
219008_at	LDAH	lipid droplet associated hydrolase	-1.234	2.692
219010_at	C1orf106	chromosome 1 open reading frame 106	-3.247	6.261
219011_at	PLEKHA4	pleckstrin homology domain containing A4	1.727	10.271
219015_s_at	ALG13	"ALG13, UDP-N-acetylglucosaminyltransferase subunit"	-2.985	9.932
219016_at	FASTKD5	FAST kinase domains 5	-2.384	9.896
219017_at	ETNK1	ethanolamine kinase 1	-3.828	15.222
219023_at	AP1AR	adaptor related protein complex 1 associated regulatory protein	-1.952	7.281
219025_at	CD248	CD248 molecule	2.211	7.74
219028_at	HIPK2	homeodomain interacting protein kinase 2	1.201	5.057
219029_at	TMEM267	transmembrane protein 267	-1.892	8.266
219030_at	TPRKB	TP53RK binding protein	-2.35	8.144
