Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CELL CYCLE	4/157	7.397309701363312E-7	6.657578731226981E-6	0	0	86.43572984749456	1220.2114065066128	CDC20;PLK1;TTK;BUB1
OOCYTE MEIOSIS	3/136	3.5638777228879455E-5	1.6037449752995755E-4	0	0	63.98603651987111	655.3498659254672	CDC20;PLK1;BUB1
PROGESTERONE-MEDIATED OOCYTE MATURATION	2/108	0.0012638362023541677	0.003791508607062503	0	0	46.89622641509434	312.96682441721515	PLK1;BUB1
UBIQUITIN MEDIATED PROTEOLYSIS	2/142	0.0021699599734573975	0.004882409940279144	0	0	35.44642857142857	217.3945967083443	CDC20;UBE2C
FANCONI ANEMIA PATHWAY	1/53	0.026191859470542787	0.04714534704697702	0	0	42.6025641025641	155.17160141847094	UBE2T
FOXO SIGNALING PATHWAY	1/130	0.06314486499159115	0.09471729748738672	0	0	17.1068044788975	47.25453226369782	PLK1
VIRAL CARCINOGENESIS	1/185	0.08876198582918055	0.1024416652849065	0	0	11.960144927536232	28.96504081050499	CDC20
MOTOR PROTEINS	1/190	0.091059258031028	0.1024416652849065	0	0	11.640799529688419	27.89420530874704	KIF14
HUMAN T-CELL LEUKEMIA VIRUS 1 INFECTION	1/219	0.10428095517082081	0.10428095517082081	0	0	10.077471967380225	22.78180358653809	CDC20
