Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Proteasome-mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	3/420	9.88581248519311E-4	0.00466830034023008	0	0	20.11613566289825	139.18836499189126	CDC20;UBE2C;KIF14
Protein K48-linked Ubiquitination (GO:0070936)	2/97	0.0010214106211725933	0.004692967718901105	0	0	52.35526315789474	360.54821838294885	UBE2C;UBE2T
Positive Regulation of Cellular Component Organization (GO:0051130)	2/105	0.0011952352797267602	0.005347105198777612	0	0	48.269417475728154	324.82480811164004	CDC20;PLK1
Mitotic Cell Cycle Phase Transition (GO:0044772)	2/118	0.0015058881139702425	0.006564127676280543	0	0	42.831896551724135	278.3376163563692	UBE2C;PLK1
Regulation of Mitotic Cell Cycle (GO:0007346)	2/131	0.001851114999833567	0.00786723874929266	0	0	38.49031007751938	242.17976540137838	CDC20;PLK1
Meiotic Sister Chromatid Cohesion, Centromeric (GO:0051754)	1/5	0.0024977078641967437	0.010356349680815767	0	0	555.1666666666666	3326.7706415121643	BUB1
Regulation of Cell Cycle Process (GO:0010564)	2/158	0.0026769918643785493	0.010835443260579843	0	0	31.78525641025641	188.26603021268724	PLK1;BUB1
Metaphase/anaphase Transition of Mitotic Cell Cycle (GO:0007091)	1/6	0.002996578172872153	0.011577688395187864	0	0	444.1111111111111	2580.4117942926405	PLK1
Positive Regulation of Maintenance of Mitotic Sister Chromatid Cohesion (GO:0034184)	1/6	0.002996578172872153	0.011577688395187864	0	0	444.1111111111111	2580.4117942926405	BUB1
Free Ubiquitin Chain Polymerization (GO:0010994)	1/7	0.0034952242970889957	0.012642300649045304	0	0	370.0740740740741	2093.271349114512	UBE2C
Regulation of Protein Localization to Cell Cortex (GO:1904776)	1/7	0.0034952242970889957	0.012642300649045304	0	0	370.0740740740741	2093.271349114512	PLK1
Positive Regulation of Synaptic Plasticity (GO:0031915)	1/7	0.0034952242970889957	0.012642300649045304	0	0	370.0740740740741	2093.271349114512	CDC20
Cleavage Furrow Formation (GO:0036089)	1/8	0.0039936462613403625	0.013855507437303297	0	0	317.1904761904762	1751.8590547314027	PLK1
Positive Regulation of Synapse Maturation (GO:0090129)	1/8	0.0039936462613403625	0.013855507437303297	0	0	317.1904761904762	1751.8590547314027	CDC20
Double-strand Break Repair via Alternative Nonhomologous End Joining (GO:0097681)	1/9	0.004491844107510829	0.014972813691702764	0	0	277.52777777777777	1500.1741678966396	PLK1
Mitotic Nuclear Membrane Disassembly (GO:0007077)	1/9	0.004491844107510829	0.014972813691702764	0	0	277.52777777777777	1500.1741678966396	PLK1
Centromeric Sister Chromatid Cohesion (GO:0070601)	1/10	0.0049898178893478615	0.016005076248851634	0	0	246.679012345679	1307.4865498601448	BUB1
Regulation of Sister Chromatid Cohesion (GO:0007063)	1/10	0.0049898178893478615	0.016005076248851634	0	0	246.679012345679	1307.4865498601448	BUB1
Exit From Mitosis (GO:0010458)	1/11	0.005487567669022947	0.016957764952048683	0	0	222.0	1155.5699775561973	UBE2C
Cell Proliferation in Forebrain (GO:0021846)	1/11	0.005487567669022947	0.016957764952048683	0	0	222.0	1155.5699775561973	KIF14
Regulation of Synapse Maturation (GO:0090128)	1/12	0.00598509351248777	0.016957764952048683	0	0	201.8080808080808	1032.9512945731403	CDC20
Protein K29-linked Ubiquitination (GO:0035519)	1/12	0.00598509351248777	0.016957764952048683	0	0	201.8080808080808	1032.9512945731403	UBE2T
